s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
12.7697353,1.1331197,0.1245810,5.7368157,0.3531930,0.6468070
12.8694988,1.0334475,0.1266560,5.5676836,0.3523415,0.6476585
12.9692624,0.9337543,0.1297067,5.4067363,0.3514900,0.6485100
13.0690259,0.8340791,0.1340287,5.2530879,0.3506386,0.6493614
13.1687895,0.7344607,0.1399174,5.1058610,0.3513274,0.6486726
13.2685530,0.6349380,0.1476682,4.9641401,0.3566368,0.6433632
13.3683166,0.5355498,0.1575767,4.8269182,0.3619462,0.6380538
13.4680801,0.4377283,0.1697535,4.6967403,0.3672556,0.6327444
13.5678437,0.3405521,0.1846021,4.5734237,0.3725650,0.6274350
13.6676073,0.2436137,0.2025531,4.4553729,0.3778744,0.6221256
13.7673708,0.1469478,0.2239877,4.3405912,0.3831838,0.6168162
13.8671344,0.0505897,0.2492872,4.2265652,0.3884932,0.6115068
13.9668979,-0.0454258,0.2788329,4.1101555,0.3992198,0.6007802
14.0666615,-0.1410637,0.3130061,3.9905882,0.4153636,0.5846364
14.1664250,-0.2349721,0.3516103,3.8646027,0.4315074,0.5684926
14.2661886,-0.3243301,0.3935722,3.7437053,0.4476512,0.5523488
14.3659522,-0.4119593,0.4406932,3.6327888,0.4637950,0.5362050
14.4657157,-0.4967967,0.4933081,3.5353840,0.4799388,0.5200612
14.5654793,-0.5777794,0.5517521,3.4555123,0.4960826,0.5039174
14.6652428,-0.6538445,0.6163601,3.3972726,0.5122264,0.4877736
14.7650064,-0.7239292,0.6874671,3.3639264,0.5197572,0.4802428
14.8647699,-0.7869705,0.7654079,3.3563016,0.5244170,0.4755830
14.9645335,-0.8414374,0.8496780,3.3496071,0.5290768,0.4709232
15.0642971,-0.8864057,0.9387966,3.3428991,0.5337366,0.4662634
15.1640606,-0.9227201,1.0329387,3.3656873,0.5383964,0.4616036
15.2638242,-0.9501331,1.1306323,3.3424427,0.5430562,0.4569438
15.3635877,-0.9683976,1.2304050,3.2819583,0.5477160,0.4522840
15.4633513,-0.9772663,1.3307849,3.2100161,0.5523758,0.4476242
15.5631148,-0.9764919,1.4302996,3.1459112,0.5649724,0.4350276
15.6628784,-0.9658272,1.5274771,3.1056901,0.5775691,0.4224309
15.7626420,-0.9446497,1.6221613,3.0994955,0.5901658,0.4098342
15.8624055,-0.9105119,1.7179059,3.0932884,0.6027625,0.3972375
15.9621691,-0.8655584,1.8075081,3.0991539,0.6153591,0.3846409
16.0619326,-0.8109783,1.8907950,3.1228310,0.6279558,0.3720442
16.1616962,-0.7479608,1.9675936,3.1645183,0.6405525,0.3594475
16.2614597,-0.6776950,2.0377310,3.2210927,0.6488125,0.3511875
16.3612233,-0.6013699,2.1010343,3.2878767,0.6440626,0.3559374
16.4609868,-0.5201748,2.1573306,3.3596626,0.6393127,0.3606873
16.5607504,-0.4344130,2.2069319,3.4311248,0.6345627,0.3654373
16.6605140,-0.3451018,2.2497925,3.5061702,0.6298128,0.3701872
16.7602775,-0.2530668,2.2863046,3.5929466,0.6250629,0.3749371
16.8600411,-0.1586980,2.3171384,3.6937906,0.6203130,0.3796870
16.9598046,-0.0623853,2.3429643,3.8093884,0.6155630,0.3844370
17.0595682,0.0354812,2.3644526,3.9383842,0.6034545,0.3965455
17.1593317,0.1345118,2.3822738,4.0627948,0.5839874,0.4160126
17.2590953,0.2342955,2.3970929,4.1830312,0.5645204,0.4354796
17.3588589,0.3344486,2.4092922,4.2994455,0.5450533,0.4549467
17.4586224,0.4347846,2.4187221,4.4123420,0.5255862,0.4744138
17.5583860,0.5350652,2.4251612,4.5219860,0.5061191,0.4938809
17.6581495,0.6350518,2.4283876,4.6286102,0.4866520,0.5133480
17.7579131,0.7345059,2.4281797,4.7182190,0.4671849,0.5328151
17.8576766,0.8331890,2.4243158,4.7861851,0.4514487,0.5485513
17.9574402,0.9308626,2.4165743,4.8326516,0.4369560,0.5630440
18.0572038,1.0294603,2.4045062,4.8577953,0.4224633,0.5775367
18.1569673,1.1273723,2.3885360,4.8992835,0.4079707,0.5920293
18.2567309,1.2245239,2.3692835,4.9658039,0.3934780,0.6065220
18.3564944,1.3212370,2.3473291,5.0580883,0.3789853,0.6210147
18.4562580,1.4178328,2.3232533,5.1516389,0.3644927,0.6355073
18.5560215,1.5146332,2.2976368,5.2431562,0.3500000,0.6500000
18.6557851,1.6119596,2.2710600,5.3327465,0.3696205,0.6303795
18.7555487,1.7079492,2.2446964,5.4205065,0.3892410,0.6107590
18.8553122,1.8035026,2.2188703,5.5065254,0.4088616,0.5911384
18.9550758,1.8998428,2.1937601,5.4044796,0.4284821,0.5715179
19.0548393,1.9968992,2.1698990,5.2672494,0.4481026,0.5518974
19.1546029,2.0946012,2.1478206,5.1477064,0.4677231,0.5322769
19.2543664,2.1928784,2.1280581,5.0463445,0.4873436,0.5126564
19.3541300,2.2916602,2.1111450,4.9641440,0.5068313,0.4931687
19.4538935,2.3907318,2.0976313,4.8995802,0.5259205,0.4740795
19.5536571,2.4892952,2.0879939,4.8362635,0.5450096,0.4549904
19.6534207,2.5881701,2.0822767,4.7735393,0.5640988,0.4359012
19.7531842,2.6873086,2.0806179,4.7105418,0.5831879,0.4168121
19.8529478,2.7866628,2.0831559,4.6467322,0.6022771,0.3977229
19.9527113,2.8861850,2.0900291,4.5816596,0.6213663,0.3786337
20.0524749,2.9858273,2.1013756,4.5140908,0.6404554,0.3595446
20.1522384,3.0855421,2.1173340,4.4425475,0.6463556,0.3536444
20.2520020,3.1833603,2.1376045,4.3647833,0.6390667,0.3609333
20.3517656,3.2794802,2.1622424,4.2888213,0.6317778,0.3682222
20.4515291,3.3747146,2.1917062,4.2179689,0.6244890,0.3755110
20.5512927,3.4685013,2.2262034,4.1546005,0.6172001,0.3827999
20.6510562,3.5602776,2.2659415,4.1012330,0.6099113,0.3900887
20.7508198,3.6494812,2.3111281,4.0604796,0.6026224,0.3973776
20.8505833,3.7355495,2.3619707,4.0349225,0.5953335,0.4046665
20.9503469,3.8179202,2.4186770,4.0268743,0.5776763,0.4223237
21.0501105,3.8964299,2.4817272,4.0188101,0.5565629,0.4434371
21.1498740,3.9703065,2.5505839,4.0162467,0.5354495,0.4645505
21.2496376,4.0390210,2.6245189,4.0219862,0.5143361,0.4856639
21.3494011,4.1021706,2.7028957,4.0117819,0.4932228,0.5067772
21.4491647,4.1593522,2.7850777,3.9859439,0.4721094,0.5278906
21.5489282,4.2101632,2.8704283,3.9658496,0.4509960,0.5490040
21.6486918,4.2542005,2.9583110,3.9579392,0.4298826,0.5701174
