s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
12.7988055,0.3116238,-0.0707051,4.0996629,0.2815537,1.1360218
12.8987961,0.2228535,-0.0255404,3.9970962,0.3079415,1.1024600
12.9987868,0.1362955,0.0242225,3.9015037,0.3343294,1.0688983
13.0987775,0.0527244,0.0787057,3.8172046,0.3607172,1.0353366
13.1987682,-0.0270147,0.1380143,3.7449272,0.3871051,1.0017749
13.2987588,-0.1024029,0.2024313,3.6846100,0.4134929,0.9682132
13.3987495,-0.1729209,0.2722397,3.6348751,0.4505770,0.9194863
13.4987402,-0.2380497,0.3477227,3.5924479,0.4918208,0.8648620
13.5987308,-0.2972702,0.4291634,3.5516779,0.5330645,0.8102376
13.6987215,-0.3498984,0.5165398,3.5123521,0.5743083,0.7556133
13.7987122,-0.3949271,0.6083052,3.4666271,0.6155521,0.7009890
13.8987028,-0.4327583,0.7044260,3.3890078,0.6567958,0.6463646
13.9986935,-0.4628733,0.8033049,3.2875886,0.6980396,0.5917403
14.0986842,-0.4847531,0.9033449,3.1698787,0.7392834,0.5371159
14.1986748,-0.4978787,1.0029488,3.0541818,0.7820539,0.4900899
14.2986655,-0.5017314,1.1005193,2.9597689,0.8250325,0.4440999
14.3986562,-0.4957922,1.1944594,2.9144906,0.8680112,0.3981100
14.4986468,-0.4786797,1.2868082,2.9086641,0.9109899,0.3521201
14.5986375,-0.4495010,1.3762728,2.9028259,0.9539685,0.3061302
14.6986282,-0.4095365,1.4610231,2.9201449,0.9969472,0.2601402
14.7986188,-0.3597144,1.5424748,2.9884197,1.0399258,0.2141503
14.8986095,-0.3009629,1.6220439,3.1130496,1.0819660,0.1702380
14.9986002,-0.2342103,1.7011460,3.2729367,1.1014824,0.1761871
15.0985908,-0.1603848,1.7811970,3.4247711,1.1209987,0.1821361
15.1985815,-0.0875770,1.8563004,3.5695827,1.1405150,0.1880852
15.2985722,-0.0191609,1.9246979,3.7081967,1.1600314,0.1940343
15.3985628,0.0523833,1.9938349,3.8412861,1.1795477,0.1999834
15.4985535,0.1266577,2.0628075,3.9694087,1.1990641,0.2059325
15.5985442,0.2032639,2.1307116,4.0930330,1.2185804,0.2118816
15.6985348,0.2818037,2.1966435,4.2125569,1.2211074,0.2327626
15.7985255,0.3618789,2.2596991,4.3283220,1.1556769,0.3133716
15.8985162,0.4430914,2.3189746,4.4396503,1.0902464,0.3939805
15.9985069,0.5250429,2.3735661,4.5098181,1.0248159,0.4745894
16.0984975,0.6158527,2.4273747,4.5028783,0.9593855,0.5551984
16.1984882,0.7101540,2.4758922,4.4885100,0.8939550,0.6358073
16.2984789,0.8045292,2.5173832,4.4783046,0.8285245,0.7164162
16.3984695,0.8988468,2.5521991,4.4693518,0.7630940,0.7970251
