x_m,y_m,width_left_m,width_right_m,vx_mps
-55.8935055,26.0710075,1.2491259,0.8803468,14.9164729
-55.9407543,26.1591408,1.243184,0.8899412,14.9220903
-55.9880681,26.247239,1.237242,0.8995357,14.9276831
-56.0354478,26.3353018,1.2313,0.9091302,14.9332513
-56.0828941,26.4233286,1.2253581,0.9187246,14.9387952
-56.1304079,26.5113191,1.2194161,0.9283191,14.9443148
-56.1779905,26.5992737,1.2132347,0.9356884,14.9498102
-56.2256419,26.6871909,1.2070334,0.9428722,14.9552815
-56.2733629,26.77507,1.2008321,0.9500561,14.960729
-56.3211544,26.8629107,1.1946308,0.95724,14.9661526
-56.369017,26.9507123,1.1884294,0.9644239,14.9715525
-56.4169515,27.0384744,1.1822281,0.9716077,14.9769288
-56.4649586,27.1261966,1.1760268,0.9787916,14.9822817
-56.5130391,27.2138781,1.1698255,0.9859755,14.9876111
-56.5611937,27.3015187,1.1636241,0.9931593,14.9929173
-56.6094236,27.3891183,1.1574228,1.0003432,14.9982004
-56.6577303,27.4766781,1.1489546,1.0040414,15
-56.7061134,27.5641953,1.1402816,1.0074248,15
-56.7545736,27.6516694,1.1316087,1.0108082,15
-56.8031117,27.7390999,1.1229357,1.0141916,15
-56.8517284,27.8264863,1.1142628,1.017575,15
-56.9004245,27.913828,1.1055898,1.0209584,15
-56.9492006,28.0011245,1.0969169,1.0243418,15
-56.9980576,28.0883753,1.0882439,1.0277252,15
-57.0469961,28.1755799,1.079571,1.0311086,15
-57.0960175,28.2627388,1.070898,1.034492,15
-57.1451236,28.3498533,1.0621974,1.0447906,15
-57.1943135,28.4369201,1.0534941,1.0557628,15
-57.2435879,28.5239385,1.0447908,1.066735,15
-57.2929476,28.610908,1.0360875,1.0777072,15
-57.3423931,28.697828,1.0273842,1.0886794,15
-57.3919254,28.7846981,1.0186809,1.0996516,15
-57.4415451,28.8715177,1.0099776,1.1106238,15
-57.4912529,28.9582862,1.0012743,1.121596,15
-57.5410495,29.0450031,0.992571,1.1325682,15
-57.5909365,29.1316691,0.9838677,1.1435404,15
-57.6409158,29.2182861,0.9747567,1.1565132,15
-57.6909862,29.3048498,0.965603,1.1696952,15
-57.7411483,29.3913597,0.9564494,1.1828772,15
-57.7914028,29.4778153,0.9472957,1.1960592,15
-57.8417505,29.564216,0.9381421,1.2092412,15
-57.892192,29.6505611,0.9289884,1.2224232,15
-57.9427281,29.7368503,0.9198348,1.2356051,15
-57.9933594,29.8230828,0.9106811,1.2487871,15
-58.0440868,29.9092582,0.9015275,1.2619691,15
-58.0949117,29.9953774,0.8923738,1.2751511,15
-58.1458363,30.0814422,0.8813338,1.2823071,15
-58.196859,30.1674481,0.8700828,1.2887892,15
-58.2479804,30.2533946,0.8588317,1.2952713,15
-58.2992013,30.3392811,0.8475807,1.3017534,15
-58.3505224,30.4251071,0.8363297,1.3082355,15
-58.4019444,30.5108719,0.8250786,1.3147175,15
-58.4534678,30.5965751,0.8138276,1.3211996,15
-58.5050935,30.682216,0.8025766,1.3276817,15
-58.5568221,30.7677941,0.7913256,1.3341638,15
-58.6086551,30.8533103,0.7800745,1.3406459,15
-58.6605947,30.9387661,0.7696637,1.3503615,15
-58.7126392,31.0241573,0.759353,1.3604626,15
-58.7647893,31.1094833,0.7490423,1.3705637,15
-58.8170458,31.1947436,0.7387316,1.3806648,15
-58.8694092,31.2799375,0.7284209,1.3907659,15
-58.9218804,31.3650645,0.7181102,1.400867,15
-58.97446,31.4501239,0.7077995,1.4109681,15
-59.0271486,31.5351153,0.6974888,1.4210692,15
-59.0799469,31.6200379,0.6871781,1.4311704,15
-59.1328564,31.7048924,0.6768674,1.4412715,15
-59.1858787,31.7896797,0.6688859,1.4490592,15
-59.2390127,31.8743966,0.6611995,1.4565539,15
-59.2922591,31.9590424,0.6535131,1.4640486,15
-59.3456184,32.0436165,0.6458267,1.4715433,15
-59.3990913,32.1281184,0.6381402,1.479038,15
-59.4526784,32.2125475,0.6304538,1.4865328,15
-59.5063804,32.2969031,0.6227674,1.4940275,15
-59.5601977,32.3811848,0.615081,1.5015222,15
-59.6141312,32.4653919,0.6073946,1.5090169,15
-59.6681817,32.5495244,0.5997082,1.5165116,15
-59.7223504,32.6335824,0.5972192,1.5239567,15
-59.7766372,32.7175639,0.5954278,1.5313951,15
-59.8310428,32.8014683,0.5936364,1.5388335,15
-59.885568,32.8852949,0.591845,1.5462719,15
-59.9402134,32.9690431,0.5900537,1.5537102,15
-59.9949799,33.0527122,0.5882623,1.5611486,15
-60.0498682,33.1363015,0.5864709,1.568587,15
-60.104879,33.2198103,0.5846795,1.5760254,15
-60.1600131,33.303238,0.5828882,1.5834638,15
-60.2152707,33.3865834,0.5810968,1.5909022,15
-60.2706525,33.469845,0.581522,1.5899998,15
-60.3261603,33.5530229,0.5822618,1.5879138,15
-60.3817955,33.6361161,0.5830015,1.5858279,15
-60.4375592,33.7191234,0.5837413,1.5837419,15
-60.4934527,33.8020439,0.5844811,1.581656,15
-60.5494772,33.8848764,0.5852208,1.5795701,15
-60.6056339,33.9676198,0.5859606,1.5774841,15
-60.6619241,34.0502731,0.5867003,1.5753982,15
-60.7183489,34.1328351,0.5874401,1.5733122,15
-60.7749084,34.2153033,0.5881798,1.5712263,15
-60.8316031,34.2976753,0.5875797,1.5747991,15
-60.8884361,34.3799526,0.5867791,1.5792189,15
-60.9454084,34.4621343,0.5859784,1.5836386,15
-61.0025213,34.544219,0.5851778,1.5880584,15
-61.059776,34.6262057,0.5843772,1.5924781,15
-61.1171735,34.708093,0.5835765,1.5968979,15
-61.1747151,34.78988,0.5827759,1.6013176,15
-61.232402,34.8715654,0.5819752,1.6057374,15
-61.2902352,34.953148,0.5811746,1.6101571,15
-61.3482146,35.0346247,0.580374,1.6145769,15
-61.4063405,35.1159931,0.5759676,1.6131927,15
-61.4646162,35.1972552,0.5709933,1.6108942,15
-61.5230428,35.2784095,0.566019,1.6085957,15
-61.5816214,35.3594549,0.5610446,1.6062972,15
-61.6403531,35.4403901,0.5560703,1.6039987,15
-61.6992391,35.5212139,0.5510959,1.6017002,15
-61.7582804,35.6019249,0.5461216,1.5994017,15
-61.8174781,35.6825219,0.5411473,1.5971032,15
-61.8768334,35.7630037,0.5361729,1.5948047,15
-61.9363462,35.8433673,0.5311986,1.5925062,15
-61.9960168,35.9236107,0.5278775,1.5940057,15
-62.055848,36.0037351,0.5248301,1.5961339,15
-62.1158405,36.0837394,0.5217827,1.5982621,15
-62.1759952,36.1636223,0.5187353,1.6003902,15
-62.236313,36.2433826,0.5156879,1.6025184,15
-62.2967947,36.3230191,0.5126405,1.6046466,15
-62.3574412,36.4025306,0.509593,1.6067747,15
-62.4182533,36.4819159,0.5065456,1.6089029,15
-62.4792319,36.5611738,0.5034982,1.6110311,15
-62.5403771,36.6403022,0.5004508,1.6131592,15
